PlayerId,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP/G,ORB/G,DRB/G,TRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,PTS/G,Salary,ID,Tm_Id,AllStar
Dell Curry TOR,2000,Dell Curry,SG,35,TOR,3,0,30,9,0.717,0.75,0.5,3.8,4.3,4,6.5,3.7,0,29.1,10.8,0,0,0,0.076,-0.5,1.2,0.7,0,2,4,0.5,2,3,0.667,0,1,0,0.75,1,2,0.5,1,1,2,1,2,0,2,4,7,10.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333,2.3333333333333335,2100000,209,1610612761,0
Michael Curry DET,2000,Michael Curry,SG,31,DET,3,1,79,11.4,0.546,0,0.261,0,5,2.4,8.8,0.7,1,7.2,17.1,0.1,0.1,0.1,0.087,-1.7,-0.4,-2.1,0,12,23,0.522,0,0,0,12,23,0.522,0.522,4,6,0.667,0,3,3,3,1,1,2,5,28,26.333333333333332,0.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.6666666666666667,9.333333333333334,2000000,688,1610612765,0
Antonio Daniels SAS,2000,Antonio Daniels,SG,24,SAS,4,0,82,13.9,0.505,0.348,0.565,2.5,9.8,6.2,15.3,4.5,0,17.3,19.2,0,0.2,0.2,0.126,2,2.3,4.3,0.1,9,23,0.391,2,8,0.25,7,15,0.467,0.435,9,13,0.692,2,8,10,6,7,0,6,5,29,20.5,0.5,2.0,2.5,1.5,1.75,0.0,1.5,1.25,7.25,2794920,1498,1610612759,0
Antonio Davis TOR,2000,Antonio Davis,C,31,TOR,3,3,105,18.1,0.647,0,0.583,7.6,22,14.3,6.4,0.5,3.3,11.7,15.3,0.3,0.1,0.4,0.187,-0.1,1.3,1.1,0.1,14,24,0.583,0,0,0,14,24,0.583,0.583,11,14,0.786,7,18,25,3,1,4,4,9,39,35.0,2.3333333333333335,6.0,8.333333333333334,1.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,3.0,13.0,4200000,213,1610612761,1
Vinny Del Negro MIL,2000,Vinny Del Negro,PG,33,MIL,5,0,93,9.7,0.433,0.067,0,0,9.3,4.9,14.9,1.7,0,9.1,16.4,0,0,0,0.011,-3.2,0.7,-2.5,0,13,30,0.433,0,2,0,13,28,0.464,0.433,0,0,0,0,8,8,9,3,0,3,4,26,18.6,0.0,1.6,1.6,1.8,0.6,0.0,0.6,0.8,5.2,1925000,219,1610612756,0
Tony Delk SAC,2000,Tony Delk,PG,26,SAC,5,0,101,19.5,0.548,0.122,0.561,11.7,7,9.3,13.3,1.6,0,13.5,26.5,0.2,0,0.2,0.089,0.4,1.4,1.7,0.1,18,41,0.439,3,5,0.6,15,36,0.417,0.476,17,23,0.739,11,7,18,7,3,0,8,11,56,20.2,2.2,1.4,3.6,1.4,0.6,0.0,1.6,2.2,11.2,485000,960,1610612756,0
Derrick Dial SAS,2000,Derrick Dial,SG,24,SAS,2,0,8,24.8,0.512,0,0.5,25.9,0,12.7,0,0,0,0,27.7,0,0,0,0.224,6.2,-9,-2.8,0,2,4,0.5,0,0,0,2,4,0.5,0.5,1,2,0.5,2,0,2,0,0,0,0,1,5,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,2.5,301875,1760,1610612759,0
Vlade Divac SAC,2000,Vlade Divac,C,31,SAC,5,5,160,12.6,0.423,0.036,0.411,6,17.1,11.7,15.2,2.3,1.6,12,21.2,-0.1,0.1,0,-0.002,-5.1,5.2,0.1,0.1,20,56,0.357,0,2,0,20,54,0.37,0.357,16,23,0.696,9,27,36,14,7,4,9,22,56,32.0,1.8,5.4,7.2,2.8,1.4,0.8,1.8,4.4,11.2,8837774,124,1610612758,1
Mario Elie SAS,2000,Mario Elie,SF,36,SAS,4,4,115,8.5,0.501,0.318,0.818,4.5,10.4,7.5,11.3,2.3,0,28.6,16.6,-0.1,0.3,0.1,0.054,-1.2,1.6,0.4,0.1,6,22,0.273,1,7,0.143,5,15,0.333,0.295,17,18,0.944,5,12,17,7,5,0,12,4,30,28.75,1.25,3.0,4.25,1.75,1.25,0.0,3.0,1.0,7.5,1925000,53,1610612756,0
Sean Elliott SAS,2000,Sean Elliott,SF,31,SAS,4,4,119,8.5,0.46,0.325,0.2,0.9,17.6,9.4,9.1,0,1.2,8.4,18.1,0,0.3,0.2,0.09,-0.4,-0.3,-0.7,0,15,40,0.375,5,13,0.385,10,27,0.37,0.438,5,8,0.625,1,21,22,5,0,2,4,13,40,29.75,0.25,5.25,5.5,1.25,0.0,0.5,1.0,3.25,10.0,5433333,251,1610612759,0
Rick Fox LAL,2000,Rick Fox,SF,30,LAL,23,0,331,10.3,0.608,0.534,0.288,3.7,9.6,6.6,12.5,1.4,0,16.3,13.4,0.6,0.1,0.7,0.095,0.4,0,0.4,0.2,33,73,0.452,18,39,0.462,15,34,0.441,0.575,16,21,0.762,11,27,38,28,9,0,16,68,100,14.391304347826088,0.4782608695652174,1.173913043478261,1.6521739130434783,1.2173913043478262,0.391304347826087,0.0,0.6956521739130435,2.9565217391304346,4.3478260869565215,3033000,296,1610612747,0
Lawrence Funderburke SAC,2000,Lawrence Funderburke,PF,29,SAC,4,0,34,16.2,0.465,0,0.444,12.6,20.8,16.8,0,1.5,0,0,14.3,0.1,0,0.1,0.087,-5.8,-1.1,-6.9,0,4,9,0.444,0,0,0,4,9,0.444,0.444,2,4,0.5,4,7,11,0,1,0,0,0,10,8.5,1.0,1.75,2.75,0.0,0.25,0.0,0.0,0.0,2.5,2400000,1444,1610612758,0
Kevin Garnett MIN,2000,Kevin Garnett,PF,23,MIN,4,4,171,20.5,0.441,0.038,0.205,9.9,25.1,17.2,38,1.7,1.5,11.5,28.1,0.2,0.2,0.4,0.102,1.4,4.8,6.2,0.4,30,78,0.385,2,3,0.667,28,75,0.373,0.397,13,16,0.813,13,30,43,35,5,3,11,12,75,42.75,3.25,7.5,10.75,8.75,1.25,0.75,2.75,3.0,18.75,16806300,708,1610612750,1
Dean Garrett MIN,2000,Dean Garrett,C,33,MIN,3,0,16,9.3,0.521,0,1,8.2,9,8.5,0,0,5.3,0,9,0,0,0,0.093,-4.3,1,-3.3,0,1,2,0.5,0,0,0,1,2,0.5,0.5,1,2,0.5,1,1,2,0,0,1,0,2,3,5.333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,1.0,2520000,1051,1610612750,0
Matt Geiger PHI,2000,Matt Geiger,C,30,PHI,8,0,128,24,0.574,0,0.5,14.9,21.8,18.2,3.1,2.1,1.3,7.6,23.7,0.5,0.1,0.6,0.227,1.3,-0.4,0.9,0.1,25,50,0.5,0,0,0,25,50,0.5,0.5,20,25,0.8,17,23,40,2,5,2,5,23,70,16.0,2.125,2.875,5.0,0.25,0.625,0.25,0.625,2.875,8.75,6889520,761,1610612755,0
Devean George LAL,2000,Devean George,SF,22,LAL,9,0,45,13,0.461,0.526,0.579,9.9,15.7,12.7,7.2,1.2,0,11.2,27,0,0,0,0.024,-1,-3.2,-4.2,0,7,19,0.368,2,10,0.2,5,9,0.556,0.421,6,11,0.545,4,6,10,2,1,0,3,5,22,5.0,0.4444444444444444,0.6666666666666666,1.1111111111111112,0.2222222222222222,0.1111111111111111,0.0,0.3333333333333333,0.5555555555555556,2.4444444444444446,790440,1904,1610612747,0
A.C. Green LAL,2000,A.C. Green,PF,36,LAL,23,23,429,10.6,0.449,0,0.256,11.2,14.6,12.8,4.4,1.7,0.6,8.2,11.5,0.4,0.2,0.6,0.071,-2.3,1.6,-0.7,0.1,37,90,0.411,0,0,0,37,90,0.411,0.411,16,23,0.696,43,53,96,13,14,3,9,44,90,18.652173913043477,1.8695652173913044,2.3043478260869565,4.173913043478261,0.5652173913043478,0.6086956521739131,0.13043478260869565,0.391304347826087,1.9130434782608696,3.9130434782608696,1700000,920,1610612748,0
Darvin Ham MIL,2000,Darvin Ham,SF,26,MIL,5,5,144,10.8,0.596,0.059,0.529,14.2,9,11.4,6.8,0.4,4.1,25,9,0.2,0.1,0.2,0.079,0.4,4.1,4.5,0.2,11,17,0.647,0,1,0,11,16,0.688,0.647,3,9,0.333,17,12,29,7,1,8,7,22,25,28.8,3.4,2.4,5.8,1.4,0.2,1.6,1.4,4.4,5.0,460000,1032,1610612749,0
Tom Hammonds MIN,2000,Tom Hammonds,PF,32,MIN,1,0,2,0,,,,0,0,0,0,0,0,,0,0,0,0,-0.015,-6.8,2.4,-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800000,67,1610612750,0
Ron Harper LAL,2000,Ron Harper,PG,36,LAL,23,23,643,13.6,0.491,0.215,0.26,5.2,10.1,7.6,17.4,1.9,1.6,12.2,16.2,0.8,0.3,1.1,0.08,-0.3,2.1,1.8,0.6,78,181,0.431,9,39,0.231,69,142,0.486,0.456,33,47,0.702,30,55,85,73,23,13,28,63,198,27.956521739130434,1.3043478260869565,2.391304347826087,3.6956521739130435,3.1739130434782608,1.0,0.5652173913043478,1.2173913043478262,2.739130434782609,8.608695652173912,2000000,166,1610612747,0
Grant Hill DET,2000,Grant Hill,SF,27,DET,2,2,55,9.5,0.539,0.125,0.625,0,26.2,12.7,34.5,1,0,32.9,27,-0.1,0.1,0,-0.038,-4.6,1.8,-2.8,0,6,16,0.375,1,2,0.5,5,14,0.357,0.406,9,10,0.9,0,11,11,9,1,0,10,7,22,27.5,0.0,5.5,5.5,4.5,0.5,0.0,5.0,3.5,11.0,6939000,255,1610612753,0
Tyrone Hill PHI,2000,Tyrone Hill,PF,31,PHI,10,10,352,15.4,0.515,0.01,0.44,11.5,21.1,16.1,4.5,1.4,0.2,9.1,17.1,0.6,0.2,0.8,0.114,-0.7,1.4,0.7,0.2,46,100,0.46,0,1,0,46,99,0.465,0.46,31,44,0.705,36,61,97,9,9,1,12,38,123,35.2,3.6,6.1,9.7,0.9,0.9,0.1,1.2,3.8,12.3,6422400,238,1610612755,0
Robert Horry LAL,2000,Robert Horry,PF,29,LAL,23,0,618,13.2,0.514,0.407,0.393,6.9,16.2,11.4,13.8,1.7,2.4,15,14.7,0.8,0.5,1.2,0.096,0.1,3.1,3.2,0.8,59,145,0.407,17,59,0.288,42,86,0.488,0.466,40,57,0.702,38,85,123,58,20,19,30,88,175,26.869565217391305,1.6521739130434783,3.6956521739130435,5.3478260869565215,2.5217391304347827,0.8695652173913043,0.8260869565217391,1.3043478260869565,3.8260869565217392,7.608695652173913,4800000,109,1610612747,0
